workYear,education,financeStage,companyLogo,district,companyId,explain,industryField,companyLabelList,positionLables,firstType,formatCreateTime,industryLables,companySize,positionName,jobNature,deliver,totalCount,gradeDescription,companyFullName,createTime,positionId,companyShortName,salary,isSchoolJob,secondType,positionAdvantage
1-3年,大专,未融资,i/image2/M00/4B/77/CgoB5lryaRyAH0tzAAAKIiMnho8486.jpg,南山区,349056,,移动互联网 不限,"带薪年假,定期体检,年底双薪,美女多","金融,房产服务,结算,财务,税务",综合职能类,2018-05-24,"金融,房产服务,结算,财务,税务",500-2000人,核算会计,全职,0,461,,深圳新房网络科技有限公司,2018-05-24 09:32:06,4540293,深圳新房网络科技有限公司,5k-7k,0,财务,核算
不限,本科,C轮,i/image/M00/BF/1D/CgqKkVjPbZ2ANMGuAABWVaYH0CE104.png,南山区,6954,,"移动互联网,教育","股票期权,年底双薪,五险一金,带薪年假",税务,综合职能类,2天前发布,,150-500人,财务会计,全职,0,461,,深圳市有伴科技有限公司,2018-05-31 09:43:38,4516417,有伴科技,6k-10k,0,财务,"学习发展,有爱团队,福利多多,IP品牌"
不限,大专,D轮及以上,image1/M00/00/03/CgYXBlTUV_qAfQgBAAA9bn4yK-M866.jpg,南山区,431,,"移动互联网,游戏","股票期权,年底双薪,绩效奖金,五险一金","银行,出纳",综合职能类,1天前发布,"银行,出纳",500-2000人,财务会计助理（实习生）,实习,0,461,,深圳市宜搜科技发展有限公司,2018-06-01 16:36:06,3494074,宜搜,3k-4k,1,财务,"流程规范,晋升空间大,氛围良好,交通便利"
1-3年,大专,天使轮,i/image/M00/52/03/CgpFT1l8BoGAHFcnAAJIgw7X3d4525.jpg,南山区,236960,,电子商务、移动互联网,,"物流,税务,AR",综合职能类,2018-05-29,"物流,税务,AR",50-150人,财务会计,全职,0,461,,深圳市慧科恒科技有限公司,2018-05-29 13:43:06,4556727,慧科恒,5k-8k,0,财务,"地铁周边,美女帅哥,氛围轻松"
1-3年,大专,不需要融资,i/image/M00/23/65/CgpFT1kax2OADIjtAAAK6g4pFLU870.png,南山区,204740,,电子商务,"带薪年假,年度旅游,节日礼物,帅哥多","电商,税务,审核",综合职能类,2018-05-29,"电商,税务,审核",50-150人,财务会计,全职,0,461,,深圳迈奇威科技有限公司,2018-05-29 15:11:18,4504336,深圳迈奇威科技有限公司,5k-7k,0,财务,"全勤奖,带薪年假,五险一金,员工旅游"
1-3年,大专,上市公司,i/image/M00/85/FB/Cgp3O1hjA22ADkvgAAAQ8EJFc70558.jpg,宝安区,164110,,其他,新鲜送达,"订单,外企,AR",综合职能类,2018-05-23,,500-2000人,应收会计,全职,0,461,,沈阳桃李面包股份有限公司,2018-05-23 16:12:34,4290056,桃李面包,4k-6k,0,财务,五险一金
1-3年,大专,未融资,image2/M00/0E/64/CgpzWlYkq36AJvLZAAAX_XW6PKA526.jpg?cc=0.4726449667941779,龙岗区,101447,,数据服务,"年底双薪,定期体检,五险一金","金融,行政,财务,税务",综合职能类,2018-05-03,"金融,行政,财务,税务",150-500人,会计文员,全职,0,461,,浩德科技股份有限公司,2018-05-03 10:12:12,4496942,浩德科技,8k-15k,0,财务,"五险一金,年假"
1-3年,大专,未融资,i/image/M00/86/44/CgpEMlq93ACAZSArAABl0uNiPf0860.jpg,宝安区,354215,,其他,"""""","税务,AR",金融类,2018-05-23,,50-150人,财务会计,全职,0,461,,深圳市日精机电有限公司,2018-05-23 09:15:52,4514245,日精机电,5k-9k,0,法务财务,"包吃住,买社保,宿舍带空调,员工生日"
不限,不限,未融资,i/image/M00/6F/80/CgpEMlmybGiAcVf7AADFrT71XOw660.jpg,南山区,174113,,"O2O,电子商务","年底双薪,带薪年假,定期体检,股票期权","助理,实习生,风控,经理,成本",综合职能类,2018-05-22,,15-50人,财务会计,全职,0,461,,深圳市兵马科技有限公司,2018-05-22 01:53:50,3668744,微回收,4K-8K,0,财务,"跨国业务,跨境电商,外贸,小米手机"
3-5年,大专,未融资,i/image2/M00/01/D2/CgoB5lm_gRmAXmHmAABB79QriVA734.jpg,南山区,237772,,"金融,移动互联网",,"出纳,税务",综合职能类,2018-05-22,,15-50人,财务会计,全职,0,461,,深圳区块网络科技有限公司,2018-05-22 16:36:50,4609696,区块网络科技,5K-10K,0,财务,五险一金/弹性工作
1-3年,大专,天使轮,i/image/M00/95/C1/CgqKkVib4OqAKemKAAAN8vqD5KM725.jpg,罗湖区,169682,,"移动互联网,社交网络",,"金融,财务",综合职能类,2018-05-03,"金融,财务",15-50人,总账会计,全职,0,461,,深圳市亿思贝科技有限公司,2018-05-03 09:39:59,4494881,Isplay,6k-8k,0,财务,"做五休二,员工社保,环境高大上,带薪年假"
1-3年,本科,未融资,i/image3/M00/24/B2/Cgq2xlqWpkaAeOaMAAAGURZjzdQ925.png,宝安区,326818,,电子商务,"""""","税务,审计",综合职能类,2018-05-09,,15-50人,财务会计,全职,0,461,,深圳市富士通光电有限公司,2018-05-09 10:31:33,4222114,富士通,4K-7K,0,财务,提供独立宿舍 单人间 空调 独立卫生间
3-5年,大专,B轮,i/image2/M00/1B/B0/CgotOVoDsWKAGSuIAAANhD_Fpss458.png,南山区,156488,,"移动互联网,游戏","年底双薪,午餐补助,定期体检,弹性工作","税务,AR",综合职能类,2018-05-04,,15-50人,财务会计,全职,0,461,,深圳市泛娱科技有限公司,2018-05-04 13:34:30,4462338,深圳市泛娱科技有限公司,5k-8k,0,财务,"双休,弹性工作,年底双薪,五险一金"
不限,本科,未融资,i/image3/M00/4A/DA/CgpOIFrW6rmAOOlNAAB_E-luHP0099.png,宝安区,368375,,金融,"""""",税务,综合职能类,3天前发布,,15-50人,财务会计助理,全职,0,461,,深圳市融通四海财税顾问有限公司,2018-05-30 09:28:04,4500763,融通四海,3k-6k,0,财务,"周末双休,五险一金,员工旅游,年终奖"
3-5年,大专,C轮,image1/M00/00/66/Cgo8PFTUXWSACW7OAACKSYYZpsc111.png,福田区,41178,,"移动互联网,O2O","技能培训,专项奖金,绩效奖金,扁平管理",CPA,综合职能类,2018-05-28,,500-2000人,财务副经理（会计事务所优先）,全职,0,461,,深圳依时货拉拉科技有限公司,2018-05-28 11:24:56,3915933,货拉拉手机打车软件,10k-15k,0,财务,"领导好,机会多"
不限,不限,不需要融资,i/image/M00/90/D2/CgpEMlr3llOAKjYQAAA5BQkJD1s361.png,南山区,378691,,"电子商务,O2O","""""",,综合职能类,2018-05-10,,15-50人,财务会计,全职,0,461,,深圳市精鲜优购电子商务有限公司,2018-05-10 23:29:33,4553978,精鲜优购,4K-6K,0,财务,下午茶，团队旅游，每年一到两次的调薪
3-5年,大专,天使轮,i/image3/M00/3B/F6/Cgq2xlqvKd-AX-rrAAAqDDHbwvM866.png,南山区,92227,,"移动互联网,社交网络","技能培训,岗位晋升,美女多,定期体检",,金融类,2018-05-04,,15-50人,财务会计专员,全职,0,461,,深圳市贸人科技有限公司,2018-05-04 10:17:06,4517539,贸人科技,6K-10K,0,法务财务,新兴行业，薪待遇，新起点
1-3年,大专,未融资,images/logo_default.png,龙岗区,212325,,电子商务,,"支付,信息安全,电商,运营,财务",综合职能类,2018-05-04,"支付,信息安全,电商,运营,财务",50-150人,核算会计（电商）,全职,0,461,,深圳市四眼科技有限公司,2018-05-04 09:08:14,4501990,四眼科技,4k-6k,0,财务,"领导好,晋升空间大,年终奖"
1-3年,大专,未融资,i/image/M00/15/B4/CgpEMlj0hc2AaMTBAAAojdOYucw192.png,福田区,194471,,金融,,"银行,出纳,AR",综合职能类,2018-05-16,"银行,出纳,AR",15-50人,财务会计,全职,0,461,,深圳高鸿金融服务有限公司,2018-05-16 10:04:47,4391536,深圳市高鸿金融服务有限公司,6k-10k,0,财务,待遇从优
3-5年,大专,不需要融资,i/image3/M00/4A/CD/CgpOIFrWyKaAC1h_AAIMJJYUi6E112.jpg,福田区,368507,,移动互联网,"""""",,综合职能类,2018-05-09,,150-500人,财务会计专员,全职,0,461,,深圳前海芯云移动传媒有限公司,2018-05-09 10:52:11,4482996,芯云移动传媒,8K-10K,0,财务,五险一金、餐补、房补、交通补助等
不限,大专,不需要融资,i/image2/M00/4A/EE/CgotOVrv9deASeWhAAArk94ncEQ316.png,宝安区,379806,,"移动互联网,电子商务","""""","助理,出纳",综合职能类,2018-05-07,,50-150人,财务会计专员,全职,0,461,,深圳市惠生活商家联盟有限公司,2018-05-07 17:53:31,4531126,惠生活,6k-8k,0,财务,"周末双休,五险一金,绩效奖金,节日福利"
1-3年,本科,未融资,i/image2/M00/50/28/CgotOVsPwmmAEiyrAABKSiPQJVU573.png,福田区,298381,,"移动互联网,金融","""""","金融,支付,银行,财务",综合职能类,1天前发布,"金融,支付,银行,财务",15-50人,结算专员两名（会计/出纳）,全职,0,461,,深圳前海数维时代科技有限公司,2018-06-01 09:03:11,3936315,前海数维时代,6k-9k,0,财务,公司福利好 发展前景好 工作氛围轻松
1-3年,大专,不需要融资,i/image2/M00/07/86/CgoB5lnMtDeAbkCCAAA5SBW-Ovo090.png,南山区,268150,,"企业服务,医疗健康",,"银行,财务,税务",综合职能类,2018-05-08,"银行,财务,税务",50-150人,会计出纳,全职,0,461,,深圳市融汇仁和投资管理有限公司,2018-05-08 16:15:11,4472851,融汇仁和,4k-6k,0,财务,"绩效奖金,年终奖金,专业培训,五险一金"
1-3年,本科,未融资,i/image3/M00/1F/85/CgpOIFqROFeAIZcEAAAXq88guNg811.jpg,罗湖区,325313,,移动互联网、硬件,"创业公司,快速发展,股票期权",电商,综合职能类,1天前发布,电商,少于15人,亚马逊跨境电商财务会计,全职,0,461,,深圳市岸基科技有限公司,2018-06-01 10:16:19,4349367,岸基科技,4k-6k,0,财务,"五险一金,销售提成,创业公司"
